48175,54
48101,54
46607,53
46772,53
48567,56
49385,54
50770,53
47922,54
49342,52
48004,52
47898,56
49009,56
47166,56
49195,52
45958,52
48508,51
49265,50
47123,51
48701,49
49473,52
51280,52
48551,55
49109,54
48946,57
49968,53
49076,51
48828,50
46996,53
47633,52
50874,51
46673,53
47871,55
47485,53
48692,56
47643,51
51108,52
48746,48
47885,48
49837,55
48355,51
47682,52
49717,53
46978,48
48041,53
49268,51
48107,54
48953,49
48406,54
48762,52
47845,57
47773,51
50821,51
48556,53
46926,50
47744,50
47724,51
47183,51
49854,54
51271,55
48851,48
48734,54
49924,55
48781,52
51484,48
50572,52
50285,54
48508,52
48133,55
47833,55
46704,49
47607,52
49786,53
49267,53
48998,51
50827,52
46198,52
47645,53
49324,54
50369,51
49632,56
50117,50
46295,54
49869,52
49298,52
50076,52
50462,53
49870,52
48503,55
49764,50
49269,54
48166,49
48425,54
51357,54
48011,54
49574,54
50132,52
48781,57
49955,56
49504,53
49954,52
50499,52
46006,56
48703,52
47928,55
50008,52
49073,51
49908,53
48956,53
47920,53
48866,48
49174,51
48516,55
49017,49
47516,51
47920,51
47852,52
48082,53
48608,54
48028,48
48406,56
49932,52
49391,51
49539,50
47554,52
49768,55
49161,52
47906,51
51129,51
49722,56
47089,51
50907,52
50218,50
48487,53
48362,54
49758,53
46291,53
47454,55
49252,52
48941,54
49009,50
47927,50
49313,54
48967,55
49425,54
47225,51
49848,51
47841,50
47851,53
49301,52
48383,54
48099,54
47454,55
50311,53
48866,55
47978,52
48033,55
50747,54
47109,54
48948,51
50122,50
47102,52
49643,56
50036,53
48849,53
48424,55
47947,53
48674,52
50419,53
47482,52
48476,55
47408,53
49535,54
46655,52
48199,55
47100,52
48957,52
48478,54
48812,54
48057,56
48659,52
50206,51
49285,52
48378,52
51542,54
47549,52
49628,54
48333,51
46950,54
49061,54
50804,51
47979,50
49338,53
49775,53
48705,50
48597,54
48861,54
48158,55
48945,49
48292,52
48434,54
47495,54
48539,52
46992,56
49395,53
51816,51
46737,53
47429,51
49263,50
48788,50
49847,53
50643,55
51863,52
51173,55
47798,54
50779,52
49988,54
48596,51
49703,54
47545,55
47693,50
48492,58
48262,49
47352,52
49121,54
47902,55
49459,51
47310,56
49482,51
47289,56
48763,52
48742,52
48859,53
47358,52
47448,47
47563,55
46378,52
48646,52
47087,56
48872,51
48419,55
49386,51
48702,52
49925,52
47958,51
47791,52
49589,54
48838,52
50341,49
47057,53
48948,50
46811,48
47570,57
47440,54
49189,53
49052,50
48658,55
48874,50
47669,50
