1238;1005;804
508;1041;907
2993;313;28
123;1575;289
3265;1986;984
671;1320;37
2033;1633;686
3915;36;374
1878;511;318
3761;761;239
1032;882;392
2955;1;332
3101;1318;409
924;281;623
2344;1276;450
2605;3;182
3348;1871;498
1187;1284;169
34;1105;224
2692;1857;216
3606;116;223
485;1003;938
2137;1049;362
1849;1253;730
949;792;177
2299;1689;429
993;590;218
3535;1302;186
290;766;111
3735;1879;730
3498;1106;546
1645;78;567
2938;624;530
1030;365;993
3889;482;871
3181;580;379
227;643;942
1023;1258;98
1081;411;903
1549;241;553
2145;389;731
3421;1686;425
1970;134;239
778;785;837
3613;725;975
3967;1777;904
2724;415;686
580;83;148
105;1922;334
936;1648;577
1239;262;919
3773;355;68
1735;1468;955
3121;1452;558
1188;1980;673
2169;621;887
524;935;589
2963;116;55
919;589;674
2057;1855;31
3749;128;850
183;867;281
1109;1824;422
1184;1380;686
997;1180;824
1440;619;906
579;859;688
664;1168;124
273;463;903
2203;351;780
3954;1478;233
230;248;988
3184;1494;320
3787;1695;727
1014;436;586
3531;102;216
1810;167;718
3359;668;191
2285;282;973
2689;1975;489
755;1780;536
2342;6;513
1821;1845;553
2704;801;528
3809;652;903
3339;1695;909
665;1674;814
377;314;967
3962;842;601
728;505;511
3007;1799;380
1481;1516;321
1525;389;972
3695;1489;725
243;232;17
3381;416;383
1266;1534;362
1639;1811;608
2099;929;328
