3433;183;1864
3877;1877;204
3188;685;868
2148;1430;1776
697;674;1355
3355;1511;1727
240;900;886
1537;1883;1518
79;1363;783
1427;425;1743
2795;1970;1499
974;1938;1529
96;1161;355
1510;1997;1430
113;685;1189
2113;924;686
101;870;1196
668;1265;597
3308;477;309
259;1211;1225
1940;1520;1470
613;784;439
465;20;1144
1096;1974;495
3670;1607;1976
2757;623;944
3781;1575;1636
1447;329;373
3938;1753;96
618;752;1966
1462;1143;1178
2286;474;1797
688;1829;1324
111;1959;1946
3225;1598;266
114;1547;977
3414;1382;1049
3883;770;1590
367;922;362
198;1340;763
2759;1735;58
2827;875;851
15;850;105
3204;1888;15
671;1301;610
1275;65;1026
3139;470;597
2839;370;1509
3897;1849;797
105;1594;819
447;891;480
2662;1812;380
965;239;744
3497;514;359
3097;1853;838
3738;852;1953
3459;1589;614
472;498;1959
1782;1395;795
3492;30;24
1338;569;496
3187;1506;1208
1361;1158;507
3070;845;1737
3613;56;1199
521;580;716
2290;386;1585
114;1746;188
2312;1346;283
2111;323;1570
3161;968;1549
373;1256;751
3978;1299;618
1610;511;977
1098;822;921
1570;1550;1512
48;791;1164
2549;34;1426
763;1496;1981
3797;570;1914
91;583;1006
18;481;1992
1650;1001;130
3615;1785;1639
1018;111;1559
2698;436;566
2465;1165;570
3882;128;244
2620;1242;1840
2704;641;1614
3804;562;612
965;1129;834
3441;1571;645
520;950;89
2730;1992;1336
1124;21;1348
571;1137;283
2601;478;1223
440;96;1183
